In the name of GOD, Most Gracious, Most Merciful.|[Quran 1:1]
If it were not for GOD's grace towards you, and His mercy in this world and in the Hereafter, you would have suffered a great retribution because of this incident. |[Sura 24:14]
You fabricated it with your own tongues, and the rest of you repeated it with your mouths without proof. You thought it was simple, when it was, according to GOD, gross. |[Sura 24:15]
When you heard it, you should have said, "We will not repeat this. Glory be to You. This is a gross falsehood." |[Sura 24:16]
GOD admonishes you that you shall never do it again, if you are believers. |[Sura 24:17]
GOD thus explains the revelations for you. GOD is Omniscient, Wise. |[Sura 24:18]
Those who love to see immorality  spread among the believers have incurred a painful retribution  in this life and in the Hereafter. GOD knows, while you do not know. |[Sura 24:19]
GOD showers you with His grace and mercy. GOD is Most Kind towards the believers, Most Merciful. |[Sura 24:20]
O you who believe, do not follow the steps of Satan. Anyone who follows the steps of Satan should know that he advocates evil and vice. If it were not for GOD's grace towards you,  and His mercy, none of you would have been purified.  But GOD purifies whomever He wills.  GOD is Hearer, Knower. |[Sura 24:21]
Those among you who are blessed with resources and wealth shall be charitable towards their relatives, the poor,  and those who have immigrated for the sake of GOD. They shall treat them with kindness and tolerance; do you not love to attain GOD's forgiveness? GOD is Forgiver, Most Merciful. |[Sura 24:22]

Surely, those who falsely accuse married women who are pious believers have incurred condemnation in this life and in the Hereafter; they have incurred a horrendous retribution. |[Sura 24:23]
The day will come when their own tongues, hands, and feet will bear witness to everything they had done. |[Sura 24:24]
On that day, GOD will requite them fully for their works, and they will find out that GOD is the Truth. |[Sura 24:25]
The bad women for the bad men, and the bad men for the bad women, and the good women for the good men, and the good men for the good women. The latter are innocent of such accusations. They have attained forgiveness and a generous reward. |[Sura 24:26]
O you who believe, do not enter homes other than yours without permission from their inhabitants, and without greeting them. This is better for you, that you may take heed.|[Sura 24:27]
If you find no one in them, do not enter them until you obtain permission. If you are told, "Go back," you must go back. This is purer for you. GOD is fully aware of everything you do. |[Sura 24:28]
You commit no error by entering uninhabited homes wherein there is something that belongs to you. GOD knows everything you reveal, and everything you conceal. |[Sura 24:29]
Tell the believing men that they shall subdue their eyes (and not stare at the women), and to maintain their chastity. This is purer for them. GOD is fully Cognizant of everything they do. |[Sura 24:30]
And tell the believing women to subdue their eyes, and maintain their chastity. They shall not reveal any parts of their bodies, except that which is necessary. They shall cover their chests, and shall not relax this code in the presence of other than their husbands, their fathers, the fathers of their husbands, their sons, the sons of their husbands, their brothers, the sons of their brothers, the sons of their sisters, other women, the male servants or employees whose sexual drive has been nullified, or the children who have not reached puberty. They shall not strike their feet when they walk in order to shake and reveal certain details of their bodies. All of you shall repent to GOD, O you believers, that you may succeed. |[Sura 24:31]
You shall encourage those of you who are single to get married. They may marry the righteous among your male and female servants, if they are poor. GOD will enrich them from His grace. GOD is Bounteous, Knower. |[Sura 24:32]
Those who cannot afford to get married shall maintain morality until GOD provides for them from His grace. Those among your servants who wish to be freed in order to marry, you shall grant them their wish, once you realize that they are honest. And give them from GOD's money that He has bestowed upon you. You shall not force your girls to commit prostitution, seeking the materials of this world, if they wish to be chaste. If anyone forces them, then GOD, seeing that they are forced, is Forgiver, Merciful. |[Sura 24:33]
We have revealed to you clarifying revelations, and examples from the past generations, and an enlightenment for the righteous. |[Sura 24:34]
GOD is the light of the heavens and the earth. The allegory of His light is that of a concave mirror behind a lamp that is placed inside a glass container. The glass container is like a bright, pearl-like star. The fuel thereof is supplied from a blessed oil-producing tree, that is neither eastern, nor western. Its oil is almost self-radiating; needs no fire to ignite it. Light upon light. GOD guides to His light whoever wills  (to be guided). GOD thus cites the parables for the people. GOD is fully aware of all things. |[Sura 24:35]
(God's guidance is found) in houses exalted by GOD, for His name is commemorated therein. Glorifying Him therein, day and night-|[Sura 24:36]
People who are not distracted by business or trade from  commemorating GOD; they observe the Contact Prayers (Salat), and give the obligatory charity (Zakat), and they are conscious of the day when the minds and the eyes will be horrified. |[Sura 24:37]
GOD will certainly reward them for their good works, and will shower them with His grace. GOD provides for whomever He wills without limits. |[Sura 24:38]
As for those who disbelieve, their works are like a mirage in the desert. A thirsty person thinks that it is water. But when he reaches it, he finds that it is nothing, and he finds GOD there instead, to requite him fully for his works. GOD is the most efficient reckoner. |[Sura 24:39]
Another allegory is that of being in total darkness in the midst of a violent ocean, with waves upon waves, in addition to thick fog. Darkness upon darkness-if he looked at his own hand, he could barely see it.Whomever GOD deprives of light, will have no light. |[Sura 24:40]
Do you not realize that everyone in the heavens and the earth glorifies GOD, even the birds as they fly in a column? Each knows its prayer and its glorification. GOD is fully aware of everything they do. |[Sura 24:41]
To GOD belongs the sovereignty of the heavens and  the earth, and to GOD is the final destiny. |[Sura 24:42]
Do you not realize that GOD drives the clouds, then  then, gathers them together, then piles them on each other, then you  see the rain coming out of them? He sends down from the sky loads of snow  to cover whomever He wills, while diverting it from whomever He wills. The brightness of the snow almost blinds the eyes.|[Sura 24:43]
GOD controls the night and day. This should be a lesson for those who possess eyes. |[Sura 24:44]
And GOD created every living creature from water. Some of them walk on their bellies, some walk on two legs, and some walk on four. GOD creates whatever He wills.  GOD is Omnipotent. |[Sura 24:45]
We have sent down to you clarifying revelations, then GOD guides whoever wills (to be guided) in  a straight path. God Sends Instructions Through His Messenger |[Sura 24:46]
They say, "We believe in GOD and in the messenger, and we obey," but then some of them slide back afterwards. These are not believers. |[Sura 24:47]
When they are invited to GOD and His messenger to judge among them, some of them get upset. |[Sura 24:48]
